"VNUM","Sub-feature","small crater?","NB","W*_T from","d [km]","h [km]","H [km]","W* [km]","C [dimless]","ave. ei [dimless]","T [dimless]","sv"
271071,0,0,1,1,,,2.210,12.050,,3.590,0.268,94
271080,1,1,4,1,,,1.280,3.365,,1.600,0.177,4
271080,1,0,4,1,,,1.550,5.000,,1.780,0.156,4
272010,0,0,1,1,,,1.820,13.600,,2.460,0.301,97
272020,0,1,4,1,,,2.220,10.100,,2.030,0.121,15
272030,0,0,4,1,,,1.490,7.900,,2.090,0.384,42
272040,0,0,4,1,,,1.280,6.500,,3.260,0.280,19
272050,0,0,4,1,0.920,0.100,0.900,3.240,,1.780,0.367,4
272070,0,0,1,1,,,0.800,4.245,,2.930,0.319,19
272080,1,0,4,1,,,1.320,7.950,,3.030,0.298,24
272080,1,0,4,1,,,1.270,6.550,,3.230,0.387,24
273010,0,0,4,1,,,1.480,4.660,,1.520,0.062,9
273020,0,1,4,1,,,1.070,8.500,,3.260,0.467,54
273030,0,0,4,1,,,2.010,4.445,0.750,1.110,0.037,0
273031,0,0,4,1,,,1.220,4.785,,2.000,0.246,11
273041,0,0,4,1,,,1.030,3.535,,1.720,0.136,0
273042,0,0,4,1,,,1.770,6.150,,1.680,0.118,4
273044,0,0,5,1,,,1.160,4.470,,1.810,0.108,5
273050,0,0,4,1,,,1.650,4.785,,1.770,0.177,5
273050,1,0,4,1,,,0.950,2.005,,1.570,0.233,5
273060,1,0,4,1,,,1.070,3.680,,1.850,0.137,6
273070,0,,1,0,26.000,0.500,0.350,35.000,0.470,,0.371,
273070,1,,,0,2.100,0.330,0.370,5.550,0.560,,0.189,
273081,0,0,4,1,,,1.380,12.000,,1.690,0.151,18
273082,0,0,5,1,,,1.240,11.900,,2.350,0.166,68
273083,0,0,1,1,2.600,0.290,1.460,12.550,,,0.104,106
273084,0,0,4,1,,,0.800,2.190,,1.770,0.191,1
273090,0,0,1,1,,,0.960,3.680,,3.080,0.103,4
274010,0,0,5,1,,,0.690,1.565,,1.340,0.248,0
274030,0,1,4,1,,,1.070,3.810,,2.190,0.243,3
274060,0,0,4,1,,,0.990,2.595,,1.780,0.163,1
275080,0,0,4,1,,,1.090,4.640,,1.820,0.092,5
282022,0,0,4,1,,,0.550,1.515,,1.980,0.724,4
282030,0,0,4,1,,,0.760,2.970,,2.450,0.079,8
282040,0,1,5,1,,,0.940,2.520,,1.270,0.145,2
282043,0,0,4,1,,,0.580,1.995,,2.390,0.544,7
282050,0,0,4,1,,,0.620,2.850,,2.390,0.196,4
282060,0,,1,0,20.800,0.400,0.350,28.400,0.450,,0.366,
282080,1,1,4,1,0.595,0.120,1.080,3.925,0.550,1.650,0.224,1
282080,0,,1,0,24.000,0.450,0.350,27.000,0.390,,0.444,
282090,0,1,1,1,,,1.460,9.450,,2.210,0.470,32
282091,0,0,4,1,,,0.290,2.145,,1.840,0.512,3
282100,0,0,5,1,,,1.450,8.200,,1.930,0.084,39
282110,0,,,0,21.000,0.550,0.800,30.500,0.420,,0.344,
282120,0,0,4,1,,,1.090,5.300,,2.670,0.477,21
283002,0,0,4,1,1.220,0.150,0.690,1.700,,1.350,0.360,0
283020,0,0,4,1,11.000,0.500,1.420,11.650,0.510,,0.473,16
283030,0,1,4,1,0.700,0.100,2.470,5.900,0.620,1.270,0.085,2
283040,0,0,4,1,,,1.670,4.495,,2.210,0.209,7
283050,0,1,1,1,,,1.450,3.915,,2.750,0.140,10
283060,0,1,1,1,,,2.010,7.000,,2.470,0.147,22
283070,0,0,1,1,,,1.090,1.695,,1.420,0.175,2
283100,0,0,1,1,,,1.680,4.975,,1.740,0.248,9
283110,0,1,4,1,0.415,0.250,1.250,4.100,0.750,2.280,0.409,4
283120,0,0,1,1,,,1.650,7.600,,1.870,0.110,19
