Sundoro,Indonesia,263210
Sumbing,Indonesia,263220
Ungaran,Indonesia,263230
Telomoyo,Indonesia,263231
Merbabu,Indonesia,263240
Merapi,Indonesia,263250
Muria,Indonesia,263251
Lawu,Indonesia,263260
Wilis,Indonesia,263270
Kelut,Indonesia,263280
Kawi-Butak,Indonesia,263281
Arjuno-Welirang,Indonesia,263290
Penanggungan,Indonesia,263291
Malang Plain,Indonesia,263292
Semeru,Indonesia,263300
Tengger Caldera,Indonesia,263310
Lamongan,Indonesia,263320
Iyang-Argapura,Indonesia,263330
Raung,Indonesia,263340
Ijen,Indonesia,263350
Baluran,Indonesia,263351
Buyan-Bratan,Indonesia,264001
Batur,Indonesia,264010
Agung,Indonesia,264020
Rinjani,Indonesia,264030
Tambora,Indonesia,264040
Sangeang Api,Indonesia,264050
"Sano, Wai",Indonesia,264060
Poco Leok,Indonesia,264070
Ranakah,Indonesia,264071
Inierie,Indonesia,264080
Inielika,Indonesia,264090
Ebulobo,Indonesia,264100
Iya,Indonesia,264110
Sukaria Caldera,Indonesia,264120
Kelimutu,Indonesia,264140
Paluweh,Indonesia,264150
Egon,Indonesia,264160
Ilimuda,Indonesia,264170
Lewotobi,Indonesia,264180
Leroboleng,Indonesia,264200
Iliboleng,Indonesia,264220
Lewotolo,Indonesia,264230
Ililabalekan,Indonesia,264240
Iliwerung,Indonesia,264250
"Tara, Batu",Indonesia,264260
Sirung,Indonesia,264270
Gunungapi Wetar,Indonesia,265030
Wurlali,Indonesia,265040
Teon,Indonesia,265050
Nila,Indonesia,265060
Serua,Indonesia,265070
Manuk,Indonesia,265080
Banda Api,Indonesia,265090
Colo,Indonesia,266010
Ambang,Indonesia,266020
Soputan,Indonesia,266030
Riendengan-Sempu,Indonesia,266040
Tondano Caldera,Indonesia,266070
Lokon-Empung,Indonesia,266100
Mahawu,Indonesia,266110
Klabat,Indonesia,266120
Tangkoko-Duasudara,Indonesia,266130
Ruang,Indonesia,267010
Karangetang,Indonesia,267020
Banua Wuhu,Indonesia,267030
Awu,Indonesia,267040
Tarakan,Indonesia,268001
Dukono,Indonesia,268010
Tobaru,Indonesia,268020
Ibu,Indonesia,268030
Gamkonora,Indonesia,268040
Todoko-Ranu,Indonesia,268050
Jailolo,Indonesia,268051
Hiri,Indonesia,268052
Gamalama,Indonesia,268060
Tidore,Indonesia,268061
Mare,Indonesia,268062
Moti,Indonesia,268063
Makian,Indonesia,268070
Tigalalu,Indonesia,268071
